week commencing,Highland
2019-12-30,75
2020-01-06,95
2020-01-13,94
2020-01-20,77
2020-01-27,82
2020-02-03,69
2020-02-10,68
2020-02-17,66
2020-02-24,78
2020-03-02,70
2020-03-09,78
2020-03-16,72
2020-03-23,70
2020-03-30,102
2020-04-06,100
2020-04-13,107
2020-04-20,94
2020-04-27,78
2020-05-04,83
2020-05-11,83
2020-05-18,73
2020-05-25,74
2020-06-01,73
2020-06-08,67
2020-06-15,66
2020-06-22,54
2020-06-29,65
2020-07-06,67
2020-07-13,72
2020-07-20,56
2020-07-27,59
2020-08-03,86
2020-08-10,61
2020-08-17,80
2020-08-24,65
2020-08-31,67
2020-09-07,66
2020-09-14,63
2020-09-21,51
2020-09-28,77
2020-10-05,57
2020-10-12,70
2020-10-19,80
2020-10-26,62
2020-11-02,73
2020-11-09,69
2020-11-16,83
2020-11-23,64
2020-11-30,69
2020-12-07,87
2020-12-14,82
2020-12-21,65
2020-12-28,62
2021,531
2021-01-04,77
2021-01-11,81
2021-01-18,99
2021-01-25,96
2021-02-01,84
2021-02-08,94
