date,Highland
2019-12-30,59
2020-01-06,60
2020-01-13,64
2020-01-20,52
2020-01-27,59
2020-02-03,44
2020-02-10,42
2020-02-17,49
2020-02-24,63
2020-03-02,48
2020-03-09,55
2020-03-16,56
2020-03-23,41
2020-03-30,68
2020-04-06,71
2020-04-13,66
2020-04-20,59
2020-04-27,47
2020-05-04,59
2020-05-11,57
2020-05-18,53
2020-05-25,54
2020-06-01,52
2020-06-08,48
2020-06-15,44
2020-06-22,43
2020-06-29,48
2020-07-06,55
2020-07-13,46
2020-07-20,38
2020-07-27,42
2020-08-03,61
2020-08-10,46
2020-08-17,58
2020-08-24,46
2020-08-31,43
2020-09-07,45
2020-09-14,44
2020-09-21,35
2020-09-28,48
2020-10-05,40
2020-10-12,45
2020-10-19,61
2020-10-26,43
2020-11-02,45
2020-11-09,54
2020-11-16,54
2020-11-23,51
2020-11-30,46
2020-12-07,66
2020-12-14,54
2020-12-21,46
2020-12-28,42
2021,250
2021-01-04,53
2021-01-11,51
2021-01-18,70
2021-01-25,76
